Measure Name,Measure Start Quarter,Measure Start Date,Measure End Quarter,Measure End Date
Hospital Value-Based Purchasing - Baseline Period,3Q2009,7/1/2009,1Q2010,3/31/2010
Hospital Value-Based Purchasing - Performance Period,3Q2011,7/1/2011,1Q2012,3/31/2012
Medicare hospital spending per patient (Medicare Spending per Beneficiary),1Q2012,1/1/2012,4Q2012,12/31/2012
Aspirin Prescribed at Discharge,2Q2012,4/1/2012,1Q2013,3/31/2013
Fibrinolytic Therapy Received within 30 Minutes of Hospital Arrival,2Q2012,4/1/2012,1Q2013,3/31/2013
Primary PCI Received Within 90 Minutes of Hospital Arrival,2Q2012,4/1/2012,1Q2013,3/31/2013
Statin Prescribed at Discharge,2Q2012,4/1/2012,1Q2013,3/31/2013
Discharge Instructions,2Q2012,4/1/2012,1Q2013,3/31/2013
Evaluation of LVS Function,2Q2012,4/1/2012,1Q2013,3/31/2013
ACEI or ARB for LVSD,2Q2012,4/1/2012,1Q2013,3/31/2013
Venous Thromboembolism (VTE) Prophylaxis,1Q2013,1/1/2013,1Q2013,3/31/2013
Discharged on Antithrombotic Therapy,1Q2013,1/1/2013,1Q2013,3/31/2013
Anticoagulation Therapy for Atrial Fibrillation/Flutter,1Q2013,1/1/2013,1Q2013,3/31/2013
Thrombolytic Therapy,1Q2013,1/1/2013,1Q2013,3/31/2013
Antithrombotic Therapy By End of Hospital Day 2,1Q2013,1/1/2013,1Q2013,3/31/2013
Discharged on Statin Medication,1Q2013,1/1/2013,1Q2013,3/31/2013
Stroke Education,1Q2013,1/1/2013,1Q2013,3/31/2013
Assessed for Rehabilitation,1Q2013,1/1/2013,1Q2013,3/31/2013
Venous Thromboembolism Prophylaxis,1Q2013,1/1/2013,1Q2013,3/31/2013
Intensive Care Unit Venous Thromboembolism Prophylaxis,1Q2013,1/1/2013,1Q2013,3/31/2013
Venous Thromboembolism Patients with Anticoagulation Overlap Therapy,1Q2013,1/1/2013,1Q2013,3/31/2013
Venous Thromboembolism Patients Receiving Unfractionated Heparin with Dosages/Platelet Count Monitoring by Protocol or Nomogram,1Q2013,1/1/2013,1Q2013,3/31/2013
Venous Thromboembolism Warfarin Therapy Discharge Instructions,1Q2013,1/1/2013,1Q2013,3/31/2013
Hospital Acquired Potentially-Preventable Venous Thromboembolism,1Q2013,1/1/2013,1Q2013,3/31/2013
Blood Cultures Performed in the Emergency Department Prior to Initial Antibiotic Received in Hospital,2Q2012,4/1/2012,1Q2013,3/31/2013
Initial Antibiotic Selection for CAP in Immunocompetent Patient,2Q2012,4/1/2012,1Q2013,3/31/2013
Prophylactic Antibiotic Received Within 1 Hour Prior to Surgical Incision,2Q2012,4/1/2012,1Q2013,3/31/2013
Prophylactic Antibiotic Selection for Surgical Patients,2Q2012,4/1/2012,1Q2013,3/31/2013
Prophylactic Antibiotics Discontinued Within 24 hours After Surgery End Time,2Q2012,4/1/2012,1Q2013,3/31/2013
Cardiac Surgery Patients with Controlled 6 A.M. Postoperative Blood Glucose,2Q2012,4/1/2012,1Q2013,3/31/2013
Urinary  Catheter Removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with Day of Surgery being Day Zero,2Q2012,4/1/2012,1Q2013,3/31/2013
Surgery Patients with Perioperative Temperature Management,2Q2012,4/1/2012,1Q2013,3/31/2013
Surgery Patients on Beta-Blocker Therapy Prior to Arrival Who Received a Beta-Blocker During the Perioperative Period,2Q2012,4/1/2012,1Q2013,3/31/2013
Surgery Patients Who Received Appropriate Venous Thromboembolism Prophylaxis Within 24 Hours Prior to Surgery to 24 Hours After Surgery,2Q2012,4/1/2012,1Q2013,3/31/2013
Relievers for Inpatient Asthma,2Q2012,4/1/2012,1Q2013,3/31/2013
Systemic Corticosteroids for Inpatient Asthma,2Q2012,4/1/2012,1Q2013,3/31/2013
Home Management Plan of Care (HMPC) Document Given to Patient/Caregiver,2Q2012,4/1/2012,1Q2013,3/31/2013
Median Time from ED Arrival to ED Departure for Admitted ED Patients,2Q2012,4/1/2012,1Q2013,3/31/2013
Admit Decision Time to ED Departure Time for Admitted Patients,2Q2012,4/1/2012,1Q2013,3/31/2013
Pneumococcal Immunization,2Q2012,4/1/2012,1Q2013,3/31/2013
Influenza Immunization,4Q2012,10/1/2012,1Q2013,3/31/2013
Elective Delivery,1Q2013,1/1/2013,1Q2013,3/31/2013
Participates in a Systematic Database for Cardiac Surgery,1Q2012,1/1/2012,4Q2012,12/31/2012
Participates in a Systematic Clinical Database Registry for Stroke Care,1Q2012,1/1/2012,4Q2012,12/31/2012
Participates in a Systematic Clinical Database Registry for Nursing Sensitive Care,1Q2012,1/1/2012,4Q2012,12/31/2012
Participation in a Systematic Clinical Database Registry for General Surgery,1Q2012,1/1/2012,4Q2012,12/31/2012
Patient satisfaction survey results,2Q2012,4/1/2012,1Q2013,3/31/2013
Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,3Q2009,7/1/2009,2Q2012,6/30/2012
Heart Failure (HF) 30-Day Mortality Rate,3Q2009,7/1/2009,2Q2012,6/30/2012
Pneumonia (PN) 30-Day Mortality Rate,3Q2009,7/1/2009,2Q2012,6/30/2012
Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,3Q2009,7/1/2009,2Q2012,6/30/2012
Heart  Failure (HF) 30-Day Readmission Rate,3Q2009,7/1/2009,2Q2012,6/30/2012
Pneumonia (PN) 30-Day Readmission Rate,3Q2009,7/1/2009,2Q2012,6/30/2012
30-Day Readmission Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA),3Q2009,7/1/2009,2Q2012,6/30/2012
30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,3Q2011,7/1/2011,2Q2012,6/30/2012
Complication Rate Following Elective Primary  Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA),3Q2009,7/1/2009,1Q2012,3/31/2012
Death among surgical inpatients with serious treatable complications,3Q2010,7/1/2010,2Q2012,6/30/2012
"Iatrogenic pneumothorax, adult",3Q2010,7/1/2010,2Q2012,6/30/2012
Post-Operative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT),3Q2010,7/1/2010,2Q2012,6/30/2012
Postoperative wound dehiscence ,3Q2010,7/1/2010,2Q2012,6/30/2012
Accidental puncture or laceration  ,3Q2010,7/1/2010,2Q2012,6/30/2012
Complication/patient safety for selected indicators (composite),3Q2010,7/1/2010,2Q2012,6/30/2012
MV,4Q2011,10/1/2011,3Q2012,9/30/2012
Central Line Associated Bloodstream Infection,2Q2012,4/1/2012,1Q2013,3/31/2013
Catheter Associated Urinary Tract Infections,2Q2012,4/1/2012,1Q2013,3/31/2013
SSI - Colon Surgery,2Q2012,4/1/2012,1Q2013,3/31/2013
SSI - Abdominal Hysterectomy,2Q2012,4/1/2012,1Q2013,3/31/2013
MRSA Bacteremia,1Q2013,1/1/2013,1Q2013,3/31/2013
Clostridium Difficile (C.Diff),1Q2013,1/1/2013,1Q2013,3/31/2013
Medicare Spending per Beneficiary,1Q2012,1/1/2012,4Q2012,12/31/2012
Acute Myocardial Infarction (AMI) 30-Day Readmissions,3Q2009,7/1/2009,2Q2012,6/30/2012
Heart Failure (HF) 30-Day Readmissions,3Q2009,7/1/2009,2Q2012,6/30/2012
Pneumonia (PN) 30-Day Readmissions,3Q2009,7/1/2009,2Q2012,6/30/2012
Median Time to Fibrinolysis,2Q2012,4/1/2012,1Q2013,3/31/2013
Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,2Q2012,4/1/2012,1Q2013,3/31/2013
Median Time to Transfer to Another Facility for Acute Coronary Intervention- Reporting Rate,2Q2012,4/1/2012,1Q2013,3/31/2013
Aspirin at Arrival,2Q2012,4/1/2012,1Q2013,3/31/2013
Median Time to ECG,2Q2012,4/1/2012,1Q2013,3/31/2013
Timing of Antibiotic Prophylaxis,2Q2012,4/1/2012,1Q2013,3/31/2013
Prophylactic Antibiotic Selection for Surgical Patients,2Q2012,4/1/2012,1Q2013,3/31/2013
MRI Lumbar Spine for Low Back Pain,1Q2011,1/1/2011,4Q2011,12/31/2011
Mammography Follow-up Rates,1Q2011,1/1/2011,4Q2011,12/31/2011
Abdomen CT - Use of Contrast Material,1Q2011,1/1/2011,4Q2011,12/31/2011
Thorax CT - Use of Contrast Material,1Q2011,1/1/2011,4Q2011,12/31/2011
Cardiac imaging for preoperative risk assessment for non-cardiac low-risk surgery,1Q2011,1/1/2011,4Q2011,12/31/2011
Simultaneous use of brain Computed Tomography (CT) and sinus Computed Tomography (CT),1Q2011,1/1/2011,4Q2011,12/31/2011
Median Time from ED Arrival to ED Departure for Discharged ED Patients,2Q2012,4/1/2012,1Q2013,3/31/2013
Median Time from ED Arrival to Provider Contact for ED patients,2Q2012,4/1/2012,1Q2013,3/31/2013
Median Time to Pain Management for Long Bone Fracture,2Q2012,4/1/2012,1Q2013,3/31/2013
Head CT Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 Minutes of ED Arrival,2Q2012,4/1/2012,1Q2013,3/31/2013
The Ability for Providers with HIT to Receive Laboratory Data Electronically Directly into their ONC Certified EHR System as Discrete Searchable Data,1Q2012,1/1/2012,2Q2012,6/30/2012
Tracking Clinical Results Between Visits,1Q2012,1/1/2012,2Q2012,6/30/2012
Left Without Being Seen,1Q2012,1/1/2012,2Q2012,6/30/2012
