Measure Name,Measure ID,Measure Start Quarter,Measure Start Date,Measure End Quarter,Measure End Date
Aortic Aneurysm Procedure Clinical Episode-Based Payment,AA,1Q2017,01/01/2017,4Q2017,12/31/2017
ACS Participation data,ACS_REGISTRY,3Q2017,07/01/2017,2Q2018,06/30/2018
Complication Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA),COMP_HIP_KNEE,2Q2015,04/01/2015,1Q2018,03/31/2018
Complication Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA),COMP_HIP_KNEE_HVBP_Baseline,3Q2010,07/01/2010,2Q2013,06/30/2013
Complication Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA),COMP_HIP_KNEE_HVBP_Performance,1Q2015,01/01/2015,2Q2017,06/30/2017
Cellulitis Clinical Episode-Based Payment,Cellulitis,1Q2017,01/01/2017,4Q2017,12/31/2017
Cholecystectomy and Common Duct Exploration Clinical Episode-Based Payment,Chole and CDE,1Q2017,01/01/2017,4Q2017,12/31/2017
Excess Days in Acute Care after Hospitalization for Acute Myocardial Infarction,EDAC_30_AMI,3Q2015,07/01/2015,2Q2018,06/30/2018
Excess Days in Acute Care after Hospitalization for Heart Failure,EDAC_30_HF,3Q2015,07/01/2015,2Q2018,06/30/2018
Excess Days in Acute Care after Hospitalization for Pneumonia,EDAC_30_PN,3Q2015,07/01/2015,2Q2018,06/30/2018
Emergency Department Volume,EDV,1Q2017,01/01/2017,4Q2017,12/31/2017
Median Time from ED Arrival to ED Departure for Admitted ED Patients,ED_1b,4Q2017,10/01/2017,3Q2018,09/30/2018
Admit Decision Time to ED Departure Time for Admitted Patients,ED_2b,4Q2017,10/01/2017,3Q2018,09/30/2018
Use of an Electronic Health Record,IPFQR_EHR,1Q2017,01/01/2017,4Q2017,12/31/2017
Follow-up after Hospitalization for Mental Illness 30-Days,FUH_30,3Q2016,07/01/2016,2Q2017,06/30/2017
Follow-up after Hospitalization for Mental Illness 7-Days,FUH_7,3Q2016,07/01/2016,2Q2017,06/30/2017
