"Measure Name","Measure Start Quarter","Measure Start Date","Measure End Quarter","Measure End Date"
"Medicare hospital spending per patient (Medicare Spending per Beneficiary)","1Q2012","1/1/2012","4Q2012","12/31/2012"
"Statin Prescribed at Discharge","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Aspirin Prescribed at Discharge","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Fibrinolytic Therapy Received within 30 Minutes of Hospital Arrival","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Primary PCI Received Within 90 Minutes of Hospital Arrival","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Relievers for Inpatient Asthma","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Systemic Corticosteroids for Inpatient Asthma","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Home Management Plan of Care (HMPC) Document Given to Patient/Caregiver","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Complication Rate Following Elective Primary  Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA)","3Q2009","07/01/2009","1Q2012","03/31/2012"
"Median Time from ED Arrival to ED Departure for Admitted ED Patients","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Admit Decision Time to ED Departure Time for Admitted Patients","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Central Line Associated Bloodstream Infection","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Catheter Associated Urinary Tract Infections","3Q2012","07/01/2012","2Q2013","06/30/2013"
"SSI - Colon Surgery","3Q2012","07/01/2012","2Q2013","06/30/2013"
"SSI - Abdominal Hysterectomy","3Q2012","07/01/2012","2Q2013","06/30/2013"
"MRSA Bacteremia","1Q2013","01/01/2013","2Q2013","06/30/2013"
"Clostridium Difficile (C.Diff)","1Q2013","01/01/2013","2Q2013","06/30/2013"
"Hours of physical-restraint use","4Q2012","10/01/2012","1Q2013","03/31/2013"
"Hours of seclusion","4Q2012","10/01/2012","1Q2013","03/31/2013"
"Patients discharged on multiple antipsychotic medications","4Q2012","10/01/2012","1Q2013","03/31/2013"
"Patients discharged on multiple antipsychotic medications with appropriate justification","4Q2012","10/01/2012","1Q2013","03/31/2013"
"Post-discharge continuing care plan created","4Q2012","10/01/2012","1Q2013","03/31/2013"
"Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","4Q2012","10/01/2012","1Q2013","03/31/2013"
"Patient satisfaction survey results","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Discharge Instructions","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Evaluation of LVS Function","3Q2012","07/01/2012","2Q2013","06/30/2013"
"ACEI or ARB for LVSD","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Pneumococcal Immunization","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Influenza Immunization","4Q2012","10/01/2012","1Q2013","03/31/2013"
"Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","3Q2009","07/01/2009","2Q2012","06/30/2012"
