"Measure ID","Measure Name","Measure Start Quarter","Start Date","Measure End Quarter","End Date"
AA,Aortic Aneurysm Procedure Clinical Episode-Based Payment,1Q2017,01/01/2017,4Q2017,12/31/2017
ACS_REGISTRY,ACS Participation data,4Q2017,10/01/2017,3Q2018,09/30/2018
COMP_HIP_KNEE,Complication Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA),2Q2015,04/01/2015,1Q2018,03/31/2018
COMP_HIP_KNEE_HVBP_Baseline,Complication Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA),3Q2010,07/01/2010,2Q2013,06/30/2013
COMP_HIP_KNEE_HVBP_Performance,Complication Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA),1Q2015,01/01/2015,2Q2017,06/30/2017
Cellulitis,Cellulitis Clinical Episode-Based Payment,1Q2017,01/01/2017,4Q2017,12/31/2017
Chole and CDE,Cholecystectomy and Common Duct Exploration Clinical Episode-Based Payment,1Q2017,01/01/2017,4Q2017,12/31/2017
EDAC_30_AMI,Excess Days in Acute Care after Hospitalization for Acute Myocardial Infarction,3Q2015,07/01/2015,2Q2018,06/30/2018
EDAC_30_HF,Excess Days in Acute Care after Hospitalization for Heart Failure,3Q2015,07/01/2015,2Q2018,06/30/2018
EDAC_30_PN,Excess Days in Acute Care after Hospitalization for Pneumonia,3Q2015,07/01/2015,2Q2018,06/30/2018
EDV,Emergency Department Volume,1Q2017,01/01/2017,4Q2017,12/31/2017
ED_1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients,1Q2018,01/01/2018,4Q2018,12/31/2018
ED_2b,Admit Decision Time to ED Departure Time for Admitted Patients,1Q2018,01/01/2018,4Q2018,12/31/2018
IPFQR_EHR,Use of an Electronic Health Record,1Q2017,01/01/2017,4Q2017,12/31/2017
FUH_30,Follow-up after Hospitalization for Mental Illness 30-Days,3Q2016,07/01/2016,2Q2017,06/30/2017
FUH_7,Follow-up after Hospitalization for Mental Illness 7-Days,3Q2016,07/01/2016,2Q2017,06/30/2017
GI,Gastrointestinal Hemorrhage Clinical Episode-Based Payment,1Q2017,01/01/2017,4Q2017,12/31/2017
HACRP_CAUTI,CAUTI_Score,1Q2016,01/01/2016,4Q2017,12/31/2017
HACRP_CDI,CDI_Score,1Q2016,01/01/2016,4Q2017,12/31/2017
HACRP_CLABSI,CLABSI_Score,1Q2016,01/01/2016,4Q2017,12/31/2017
HACRP_D1,Domain_1_Score,4Q2015,10/01/2015,2Q2017,06/30/2017
HACRP_D2,Domain_2_Score,1Q2016,01/01/2016,4Q2017,12/31/2017
HACRP_MRSA,MRSA_Score,1Q2016,01/01/2016,4Q2017,12/31/2017
HACRP_PSI90,AHRQ_PSI_90_Score,4Q2015,10/01/2015,2Q2017,06/30/2017
HACRP_SSI,SSI_Score,1Q2016,01/01/2016,4Q2017,12/31/2017
HACRP_Total,Total_HAC_Score,4Q2015,10/01/2015,4Q2017,12/31/2017
HAI_1,Central Line Associated Bloodstream Infection (ICU + select Wards),1Q2018,01/01/2018,4Q2018,12/31/2018
HAI_1_HVBP_Baseline,Central Line Associated Bloodstream Infection,1Q2015,01/01/2015,4Q2015,12/31/2015
HAI_1_HVBP_Performance,Central Line Associated Bloodstream Infection,1Q2017,01/01/2017,4Q2017,12/31/2017
HAI_2,Catheter Associated Urinary Tract Infections (ICU + select Wards),1Q2018,01/01/2018,4Q2018,12/31/2018
HAI_2_HVBP_Baseline,Catheter Associated Urinary Tract Infections,1Q2015,01/01/2015,4Q2015,12/31/2015
HAI_2_HVBP_Performance,Catheter Associated Urinary Tract Infections,1Q2017,01/01/2017,4Q2017,12/31/2017
HAI_3,SSI - Colon Surgery,1Q2018,01/01/2018,4Q2018,12/31/2018
HAI_3_HVBP_Baseline,SSI - Colon Surgery,1Q2015,01/01/2015,4Q2015,12/31/2015
HAI_3_HVBP_Performance,SSI - Colon Surgery,1Q2017,01/01/2017,4Q2017,12/31/2017
HAI_4,SSI - Abdominal Hysterectomy,1Q2018,01/01/2018,4Q2018,12/31/2018
HAI_4_HVBP_Baseline,SSI - Abdominal Hysterectomy,1Q2015,01/01/2015,4Q2015,12/31/2015
HAI_4_HVBP_Performance,SSI - Abdominal Hysterectomy,1Q2017,01/01/2017,4Q2017,12/31/2017
HAI_5,MRSA Bacteremia,1Q2018,01/01/2018,4Q2018,12/31/2018
HAI_5_HVBP_Baseline,MRSA,1Q2015,01/01/2015,4Q2015,12/31/2015
HAI_5_HVBP_Performance,MRSA,1Q2017,01/01/2017,4Q2017,12/31/2017
HAI_6,Clostridium Difficile (C.Diff),1Q2018,01/01/2018,4Q2018,12/31/2018
HAI_6_HVBP_Baseline,CDI,1Q2015,01/01/2015,4Q2015,12/31/2015
HAI_6_HVBP_Performance,CDI,1Q2017,01/01/2017,4Q2017,12/31/2017
HBIPS_2,Hours of physical-restraint use,1Q2017,01/01/2017,4Q2017,12/31/2017
HBIPS_3,Hours of seclusion,1Q2017,01/01/2017,4Q2017,12/31/2017
HBIPS_5,Patients discharged on multiple antipsychotic medications with appropriate justification,1Q2017,01/01/2017,4Q2017,12/31/2017
HCAHPS_HVBP_Baseline,HCAHPS Measures,1Q2015,01/01/2015,4Q2015,12/31/2015
HCAHPS_HVBP_Performance,HCAHPS Measures,1Q2017,01/01/2017,4Q2017,12/31/2017
IPFQR_HCP_FluVac,Healthcare Personnel Influenza Vaccination,4Q2017,10/01/2017,1Q2018,03/31/2018
HCAHPS,Patient satisfaction survey results,1Q2018,01/01/2018,4Q2018,12/31/2018
Composite 1 Q1 to Q3,Communication with Nurses,1Q2018,01/01/2018,4Q2018,12/31/2018
Composite 2 Q5 to Q7,Communication with Doctors,1Q2018,01/01/2018,4Q2018,12/31/2018
Composite 3 Q4 to Q11,Responsiveness of Hospital Staff,1Q2018,01/01/2018,4Q2018,12/31/2018
Composite 5 Q16 to Q17,Communication about Medicines,1Q2018,01/01/2018,4Q2018,12/31/2018
Composite 6 Q19 to Q20,Discharge Information,1Q2018,01/01/2018,4Q2018,12/31/2018
Composite 7 (Q23 to 25),Care Transition,1Q2018,01/01/2018,4Q2018,12/31/2018
IMM_2,Influenza Immunization,4Q2017,10/01/2017,1Q2018,03/31/2018
IMM_3,Healthcare Personnel Influenza Vaccination,4Q2018,10/01/2018,1Q2019,03/31/2019
IPFQR_IMM_2,Influenza Immunization,4Q2017,10/01/2017,1Q2018,03/31/2018
Kidney_UTI,Kidney/Urinary Tract Infection Clinical Episode-Based Payment,1Q2017,01/01/2017,4Q2017,12/31/2017
Linear Score,HCAHPS Linear Score for each measure,1Q2018,01/01/2018,4Q2018,12/31/2018
Linear Score,PCH HCAHPS Linear Score,1Q2018,01/01/2018,4Q2018,12/31/2018
MORT_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,3Q2015,07/01/2015,2Q2018,06/30/2018
MORT_30_AMI_HVBP_Baseline,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,3Q2009,07/01/2009,2Q2012,06/30/2012
MORT_30_AMI_HVBP_Performance,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,3Q2014,07/01/2014,2Q2017,06/30/2017
MORT_30_CABG,30-Day All-Cause Mortality Following Coronary Artery Bypass Graft (CABG) Surgery,3Q2015,07/01/2015,2Q2018,06/30/2018
MORT_30_COPD,Chronic Obstructive Pulmonary Disease (COPD) 30-Day Mortality Rate,3Q2015,07/01/2015,2Q2018,06/30/2018
MORT_30_HF,Heart Failure (HF) 30-Day Mortality Rate,3Q2015,07/01/2015,2Q2018,06/30/2018
MORT_30_HF_HVBP_Baseline,Heart Failure (HF) 30-Day Mortality Rate,3Q2009,07/01/2009,2Q2012,06/30/2012
MORT_30_HF_HVBP_Performance,Heart Failure (HF) 30-Day Mortality Rate,3Q2014,07/01/2014,2Q2017,06/30/2017
MORT_30_PN,Pneumonia 30-Day Mortality Rate,3Q2015,07/01/2015,2Q2018,06/30/2018
MORT_30_PN_HVBP_Baseline,Pneumonia 30-Day Mortality Rate,3Q2009,07/01/2009,2Q2012,06/30/2012
MORT_30_PN_HVBP_Performance,Pneumonia 30-Day Mortality Rate,3Q2014,07/01/2014,2Q2017,06/30/2017
MORT_30_STK,Acute Ischemic Stroke (STK) 30-Day Mortality Rate,3Q2015,07/01/2015,2Q2018,06/30/2018
MSPB_1,Spending per Hospital Patient with Medicare (Medicare Spending per Beneficiary),1Q2017,01/01/2017,4Q2017,12/31/2017
MSPB_1_HVBP_Baseline,Spending per Hospital Patient with Medicare (Medicare Spending per Beneficiary),1Q2015,01/01/2015,4Q2015,12/31/2015
MSPB_1_HVBP_Performance,Spending per Hospital Patient with Medicare (Medicare Spending per Beneficiary),1Q2017,01/01/2017,4Q2017,12/31/2017
OP_10,Abdomen CT - Use of Contrast Material,3Q2017,07/01/2017,2Q2018,06/30/2018
OP_11,Thorax CT - Use of Contrast Material,3Q2017,07/01/2017,2Q2018,06/30/2018
OP_12,The Ability for Providers with HIT to Receive Laboratory Data Electronically Directly into their ONC-Certified,1Q2017,01/01/2017,4Q2017,12/31/2017
OP_13,Cardiac Imaging for Preoperative Risk Assessment for Non-Cardiac Low-Risk Surgery,3Q2017,07/01/2017,2Q2018,06/30/2018
OP_14,Simultaneous Use of Brain Computed Tomography (CT) and Sinus Computed Tomography (CT),3Q2017,07/01/2017,2Q2018,06/30/2018
OP_17,Tracking Clinical Results between Visits,1Q2017,01/01/2017,4Q2017,12/31/2017
OP_18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients,1Q2018,01/01/2018,4Q2018,12/31/2018
OP_18c,Median Time from ED Arrival to ED Departure for Discharged ED Patients-Psychiatric/Mental Health Patients,1Q2018,01/01/2018,4Q2018,12/31/2018
OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,1Q2018,01/01/2018,4Q2018,12/31/2018
